DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Ano 1º Sintoma(s)
Período:2014-2017
"Semana epidem. 1º Sintomas(s)";"Em Branco";"<1975";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"Semana 10";1;10;-;-;-;1;1;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;2;2;-;-;-;-;-;-;2;-;3;1;1;-;-;2;4;3;12;4660;60277;12551;271;-;77807
"Semana 11";-;14;-;-;-;-;4;-;2;-;-;-;-;2;-;-;-;1;-;-;1;1;-;-;-;1;1;-;1;2;-;-;1;1;1;1;1;3;3;3;16;6139;63710;12672;256;1;82838
"Semana 12";-;10;1;-;1;1;-;-;-;-;-;2;2;1;1;1;1;-;-;-;-;2;-;3;1;-;-;-;3;-;2;3;1;2;-;-;-;2;-;1;14;8727;54827;11640;262;-;75511
"Semana 13";-;14;-;2;-;3;-;1;1;-;-;-;-;-;-;1;-;-;-;1;3;1;-;1;-;1;-;-;2;2;1;2;1;1;-;-;-;1;6;1;14;12822;47734;11419;237;-;72272
"Semana 14";-;16;1;1;-;-;-;3;1;-;2;-;2;-;1;-;-;1;-;-;1;1;1;1;2;1;2;1;2;-;-;-;2;-;1;-;-;8;3;-;6;15662;54034;10552;233;-;80541
"Semana 15";-;9;1;1;-;1;-;-;1;-;-;-;-;1;1;5;-;-;-;1;-;-;-;1;-;1;1;2;3;-;1;2;3;1;-;-;1;3;6;2;8;20133;47802;9127;225;-;77343
"Semana 16";-;10;-;1;4;2;-;1;-;1;-;3;2;-;2;-;-;1;-;1;1;-;1;-;-;2;-;-;3;1;2;-;3;1;-;-;-;2;3;-;8;23547;44126;8093;237;-;76058
"Semana 17";-;18;1;-;1;1;-;2;1;-;2;-;1;-;-;1;1;1;-;-;-;2;1;-;-;-;2;1;2;2;1;3;1;-;-;-;-;3;1;1;5;22318;39125;6873;160;-;68531
"Semana 18";-;8;1;-;-;-;1;2;-;-;1;-;1;1;1;-;-;-;-;1;-;-;1;-;1;-;-;-;2;1;1;1;2;-;-;1;1;4;4;3;7;19649;29200;4481;169;-;53545
"Semana 19";-;16;-;1;1;1;2;2;-;1;1;1;1;-;-;-;1;-;-;-;-;1;1;2;-;1;2;-;4;-;-;-;3;-;-;-;-;3;2;1;5;15577;19819;2753;142;-;38344
"Semana 20";-;12;-;1;1;-;1;1;-;4;-;1;1;-;2;3;2;-;-;1;2;-;1;1;1;1;1;-;-;-;-;1;-;-;-;-;1;3;-;-;-;14588;13634;2070;141;-;30475
"Semana 21";-;12;-;1;-;1;2;-;-;-;1;1;1;1;1;1;2;1;1;2;1;2;-;1;1;1;1;1;4;-;2;-;1;-;-;-;-;1;1;1;1;10224;9423;1336;120;-;21150
"Semana 22";-;14;1;1;-;2;-;1;1;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;1;1;1;-;-;7426;6806;880;145;-;15288
"Semana 23";-;15;1;-;-;-;-;-;1;3;1;-;1;1;-;-;2;-;1;-;-;2;-;-;1;1;-;-;-;2;-;1;2;-;-;-;-;2;1;1;1;4676;4866;499;85;-;10166
"Semana 24";-;14;-;-;-;1;1;1;1;-;1;1;1;1;1;-;1;-;-;3;-;-;1;1;2;1;-;-;3;-;-;-;2;1;-;-;-;1;-;1;1;3442;3883;422;90;-;7878
"Semana 25";-;8;1;-;1;-;1;-;1;-;-;1;-;2;-;2;-;2;-;-;-;1;3;1;-;-;-;-;1;1;-;-;1;-;-;-;3;-;2;1;-;2863;2393;308;80;-;5677
"Semana 26";-;14;-;-;1;-;-;1;1;1;3;1;1;2;1;2;-;2;-;2;1;4;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;2;2104;1449;286;89;-;3973
"Semana 27";-;14;-;-;-;1;-;3;1;-;1;2;2;1;-;-;-;2;2;-;1;-;-;2;-;-;-;-;2;1;-;-;2;1;-;1;-;1;-;-;1;1456;797;198;66;-;2558
"Semana 28";-;10;-;-;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;-;1;-;1;1;1;-;1;-;-;-;-;1;1093;840;202;77;-;2235
"Semana 29";-;18;-;2;-;1;-;2;1;-;-;-;-;-;-;-;2;1;1;1;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;3;805;926;133;67;-;1968
"Semana 30";-;10;-;-;1;-;1;1;-;-;1;1;2;-;-;-;2;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;2;741;654;153;54;-;1628
"Semana 31";-;14;1;-;-;1;-;2;2;1;1;-;-;-;-;1;1;-;-;2;-;1;-;1;-;1;-;-;4;-;-;2;-;-;-;-;-;-;-;-;-;528;513;137;65;-;1278
"Semana 32";-;12;-;2;1;-;-;1;1;1;-;1;-;-;-;-;-;1;1;1;-;1;1;-;-;-;1;-;1;-;1;1;2;-;-;1;-;-;-;-;1;396;567;130;86;-;1211
"Semana 33";-;17;1;1;1;-;-;1;-;2;-;1;-;3;1;1;2;-;1;-;-;3;1;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;1;346;452;118;77;-;1034
"Semana 34";-;14;2;1;1;1;1;1;1;1;1;-;1;2;-;-;-;1;1;1;1;-;1;3;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;316;367;131;102;-;955
"Semana 35";-;11;-;1;-;1;-;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;-;-;1;-;1;1;-;1;1;2;1;-;-;1;-;-;-;-;1;330;298;121;116;-;892
"Semana 36";-;13;-;-;-;1;1;1;1;-;-;-;2;1;1;1;1;-;-;2;-;-;-;-;-;1;1;1;1;-;1;-;-;-;1;-;-;-;-;-;1;336;308;119;111;-;906
"Semana 37";-;11;-;-;-;-;-;1;1;3;2;1;1;-;-;2;-;-;2;-;1;-;-;1;-;1;1;-;-;-;-;1;-;2;-;-;-;1;1;-;-;331;376;128;152;-;1020
"Semana 38";-;18;-;-;-;-;-;-;2;-;3;1;1;1;-;2;-;2;-;-;1;2;3;-;-;1;-;-;-;2;-;-;-;2;-;-;-;1;-;1;-;360;392;119;199;-;1113
"Semana 39";-;23;2;1;-;-;-;-;1;-;-;2;-;-;-;1;-;-;1;-;-;2;1;1;2;1;1;-;-;1;1;1;-;-;1;1;-;-;-;1;-;320;419;149;193;-;1126
"Semana 40";-;17;-;-;-;-;1;1;-;-;1;-;-;1;-;-;1;1;-;1;-;1;1;3;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;1;1;353;410;131;218;-;1146
"Semana 41";-;10;-;-;-;-;2;2;2;-;-;1;-;1;2;-;-;-;2;3;-;-;1;1;1;2;1;-;1;-;2;1;1;-;1;-;-;-;-;1;-;373;468;196;230;-;1305
"Semana 42";-;11;1;2;-;-;-;-;-;2;1;1;2;1;1;-;-;-;-;1;-;3;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;398;484;242;218;-;1371
"Semana 43";-;9;1;-;-;1;1;-;-;1;-;1;1;-;-;1;-;1;-;-;-;1;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;2;433;523;189;215;-;1385
"Semana 44";-;13;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;1;1;-;2;1;-;1;-;2;1;-;-;1;-;-;-;-;-;-;-;-;1;-;493;655;233;207;-;1617
"Semana 45";-;13;-;1;-;1;-;-;2;-;-;1;-;-;2;1;1;1;-;1;1;-;1;-;1;-;-;3;-;-;-;-;-;1;-;-;-;-;1;-;1;582;828;277;233;-;1953
"Semana 46";-;10;-;1;1;1;-;-;-;2;1;-;-;1;1;-;-;-;2;-;1;1;-;1;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;2;587;1003;270;224;-;2112
"Semana 47";-;11;-;1;-;1;-;1;1;3;-;-;2;-;1;-;2;2;1;2;1;1;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3;738;1252;252;198;-;2476
"Semana 48";-;10;-;1;-;-;2;-;1;2;-;4;1;2;1;-;1;-;-;-;1;-;-;-;1;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;2;702;1561;259;241;-;2796
"Semana 49";-;12;2;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;1;2;1;1;2;3;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;3;949;2047;249;229;-;3509
"Semana 50";-;17;-;3;-;1;-;1;-;-;1;1;1;-;-;2;-;-;-;-;2;2;1;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;13;1158;2399;210;221;-;4038
"Semana 51";-;13;1;-;-;2;1;1;-;1;-;-;-;-;-;-;-;-;1;2;-;-;1;-;1;-;-;-;4;1;1;1;1;-;-;-;1;-;-;-;32;1212;2789;225;171;-;4462
"Semana 52";-;10;2;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;133;1519;2878;1804;93;-;6450
"Semana 53";-;4;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1051;1708;-;-;-;2769
"Total";2;689;28;30;18;35;34;46;30;35;37;37;36;33;32;38;35;29;23;34;35;46;36;41;40;27;23;18;54;24;28;32;47;23;9;14;15;63;56;43;421;228117;749551;199904;9204;1;1189153
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, inclusive os casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo PNCD (Programa Nacional de Controle da Dengue) em sua série histórica, que para tal, realiza
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018, dados sujeitos a revisão.
 Data da publicação dos dados 04/02/2019.
 
